po number,vehicle number,departure time
7007414888,กท.61-7783,2022-03-05 11:27:18
7007413610,กท.78-7993,2022-03-05 11:29:15
7007414937,กท.79-8993,2022-03-05 11:32:06
7007414962,ชม.70-5193,2022-03-05 11:41:04
7007414972,กท.79-5840,2022-03-05 11:56:41
7007414944,กท.79-3156,2022-03-05 12:03:31
7007414952,กท.79-2898,2022-03-05 12:09:40
7007413601,กท.77-8134,2022-03-05 12:29:07
7007415061,กท.75-7868,2022-03-05 12:33:08
7007414975,กท.61-7782,2022-03-05 12:46:23
7007413686,กท.60-4207,2022-03-05 12:46:30
7007415062,กท.77-7979,2022-03-05 12:57:49
7007413606,กท.79-0641,2022-03-05 12:59:23
7007415071,กท.79-3257,2022-03-05 13:07:45
7007415085,ชม.70-5301,2022-03-05 13:15:10
7007413777,กท.78-6742,2022-03-05 13:19:43
7007415051,นม.70-7497,2022-03-05 13:31:49
7007413767,กท.79-0841,2022-03-05 13:49:16
7007413899,กท.79-0144,2022-03-05 13:56:03
7007415084,ชม.70-5300,2022-03-05 14:09:16
7007415089,ชบ.83-3599,2022-03-05 14:14:42
7007415110,กท.79-3258,2022-03-05 14:41:35
7007413690,กท.79-0642,2022-03-05 14:50:07
7007415112,กท.75-6688,2022-03-05 15:04:08
7007413715,กท.78-1149,2022-03-05 15:07:30
7007413801,กท.78-6744,2022-03-05 15:25:48
7007415147,ชบ.84-7139,2022-03-05 15:31:09
7007415183,ชม.70-5302,2022-03-05 15:37:10
7007415184,กท.61-6634,2022-03-05 15:47:09
7007415180,กท.79-1812,2022-03-05 15:50:18
7007415200,นม.70-6730,2022-03-05 16:08:48
7007415225,ชม.70-5122,2022-03-05 16:10:27
7007413681,กท.79-5578,2022-03-05 16:12:38
7007415230,ชม.70-5299,2022-03-05 16:43:22
7007415242,กท.79-8993,2022-03-05 16:48:22
7007415254,กท.75-6688,2022-03-05 17:05:34
7007415245,กท.79-3259,2022-03-05 17:09:50
7007415253,ชม.70-5125,2022-03-05 17:22:01
7007415528,สค.70-4386,2022-03-06 01:24:08
7007415533,ลพ.70-0785,2022-03-06 01:36:38
7007415532,สค.70-2917,2022-03-06 01:45:18
7007415529,สค.70-4333,2022-03-06 01:49:14
7007415534,สค.70-3665,2022-03-06 02:08:19
7007415545,รย.71-2638,2022-03-06 02:11:36
7007415530,สค.70-6119,2022-03-06 02:26:43
7007415531,ชม.70-4355,2022-03-06 02:33:42
7007415544,ชม.70-5302,2022-03-06 02:59:10
7007413861,ฉช.82-8528,2022-03-06 03:49:02
7007413865,ฉช.82-7170,2022-03-06 04:34:54
7007415587,ชม.70-5301,2022-03-06 04:57:03
7007413867,ฉช.82-8346,2022-03-06 05:08:24
7007415598,ชม.70-5300,2022-03-06 05:31:07
7007413859,ฉช.82-0002,2022-03-06 05:54:45
7007413802,กท.75-1033,2022-03-06 07:22:28
7007413705,กท.78-6742,2022-03-06 07:35:38
